"job_title","job_title_short","job_location","search_location","job_schedule_type","job_no_degree_mention","job_health_insurance","salary_year_avg","company_name"
"Data Analyst","Data Analyst","Anywhere","Georgia","Full-time","",1,"106562.5","Cherry Bekaert Advisory, LLC"
"Data Governance Analyst II - Frameworks, Standards, & Policies","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"106479.0","Edward Jones"
"Data Analyst II - Firm Analytics","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"106479.0","Edward Jones"
"Data Analyst II - Firm Analytics","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"106479.0","Edward Jones"
"Market Research & Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"106000.0","Get It Recruit - Information Technology"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"106000.0","Get It Recruit - Information Technology"
"Data Analyst","Data Analyst","Anywhere","Georgia","Full-time","","","105000.0","Starr And Associates LLC"
"Data Visualization Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"105000.0","Get It Recruit - Information Technology"
"Product Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"105000.0","Syrup"
"Healthcare Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"105000.0","Get It Recruit - Healthcare"
"Clinical Data Analyst","Data Analyst","Anywhere","California, United States","Full-time",1,"","105000.0","Modis"
"Data Analyst","Data Analyst","Anywhere","Sudan","Full-time","","","105000.0","Vista Global Solutions, LLC"
"Marketing Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","","","105000.0","Syndicatebleu"
"Building Management System Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time",1,"","105000.0","Vantage Consulting"
"Sales Comp Data Analyst (Remote, U.S.)","Data Analyst","Anywhere","New York, United States","Full-time","","","104300.0","Pitney Bowes"
"Health Information Management Data Analyst III","Data Analyst","Anywhere","California, United States","Full-time","",1,"104106.5","Health Plan of San Mateo"
"Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"104000.0","Get It Recruit - Information Technology"
"Healthcare Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"103500.0","Get It Recruit - Information Technology"
"Data and Analytics Analyst","Data Analyst","Anywhere","Georgia","Full-time","",1,"103049.5","Get It Recruit - Finance"
"Data Integration Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"103000.0","AIDS Healthcare Foundation"
"Epic Chronicles Database Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"103000.0","Get It Recruit - Information Technology"
"Data Analyst","Data Analyst","Anywhere","Texas, United States","Contractor",1,"","102500.0","Insight Global"
"Data Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"102500.0","Get It Recruit - Information Technology"
"Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time and Contractor",1,"","102500.0","The Phoenix Group"
"Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","","","102500.0","Orion Groups"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","","","102250.0","ZipRecruiter"
"Data Analyst - Healthcare Industry (Remote)","Data Analyst","Anywhere","New York, United States","Full-time","",1,"102000.0","Get It Recruit - Information Technology"
"Remote Data Analyst III","Data Analyst","Anywhere","Georgia","Full-time","",1,"102000.0","Get It Recruit - Information Technology"
"Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"101500.0","Get It Recruit - Information Technology"
"Data Analyst - Empowering Insights for a Healthier Future","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"101500.0","Get It Recruit - Information Technology"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"101500.0","Get It Recruit - Information Technology"
"Data analyst remote","Data Analyst","Anywhere","Georgia","Full-time",1,1,"100400.0","UnitedHealth Group"
"Healthcare Data Analyst- Hybrid","Data Analyst","Anywhere","California, United States","Full-time",1,1,"100400.0","UnitedHealth Group"
"Data Analyst 2 - Remote","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"100400.0","Optum"
"Tableau Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","","","100000.5","SAIC"
"Data Analyst - Healthcare","Data Analyst","Anywhere","Illinois, United States","Full-time","","","100000.0","InvestM Technology LLC"
"Healthcare Quality Data Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","","","100000.0","Insight Global Healthcare"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"100000.0","LHH"
"Data Analyst - Investment Management","Data Analyst","Anywhere","Texas, United States","Contractor","","","100000.0","InvestM Technology LLC"
"Marketing Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"100000.0","LHH"
"Business Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","","","100000.0","Scaleai"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","","","100000.0","Govcio LLC"
"Data Conversion Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","","","100000.0","Insight Global"
"Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time",1,1,"100000.0","Hearth"
"Research Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","","","99746.90625","Calbright College"
"Legal Project Management Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"99500.0","Ogletree Deakins"
"Data Analyst III - SQL Analytics - Remote | WFH","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"99000.0","Get It Recruit - Technology"
"Research Data Analyst (remote)","Data Analyst","Anywhere","New York, United States","Full-time","",1,"98800.0","Ad Hoc Team"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","","","98750.0","Goldbelt, Inc."
"Data Analyst IV (Healthcare Analytics) - Remote | WFH","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"98500.0","Get It Recruit - Technology"
"Remote Epic Bridges Analyst with Data Conversion Expertise","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"98000.0","Get It Recruit - Information Technology"
"Privacy Data Analyst- (remote)","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"97500.0","Cognizant Technology Solutions"
"Mid-Level Data Analyst - Python/SQL/PowerBI/Tableau","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"97500.0","Motion Recruitment"
"Quantitative Data Analyst (CRE / CMBS)","Data Analyst","Anywhere","New York, United States","Full-time","",1,"97500.0","CRED iQ"
"Data Analyst - Healthcare","Data Analyst","Anywhere","Texas, United States","Full-time","","","97500.0","InvestM Technology LLC"
"Provider Data Configuration Analyst IV","Data Analyst","Anywhere","California, United States","Full-time","",1,"97070.5","Central California Alliance for Health (Remote)"
"Data Analyst (Apex Legends)","Data Analyst","Anywhere","California, United States","Full-time",1,1,"96400.0","Respawn Entertainment"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"95700.0","Booz Allen Hamilton"
"Data Analyst (QA)","Data Analyst","Anywhere","California, United States","Full-time",1,1,"95680.0","Insight Global"
"Data Analyst (QA)","Data Analyst","Anywhere","California, United States","Full-time",1,1,"95680.0","Insight Global"
"Data Analyst, Mid","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"95650.0","Booz Allen Hamilton"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"95329.0","Get It Recruit - Finance"
"Data Integration Analyst","Data Analyst","Anywhere","New York, United States","Full-time",1,1,"95000.0","United Site Services"
"Data Analyst","Data Analyst","Anywhere","Sudan","Full-time",1,1,"95000.0","Polygence"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"95000.0","Get It Recruit - Finance"
"Informatics Data Analyst II","Data Analyst","Anywhere","Georgia","Full-time",1,1,"95000.0","IDR, Inc."
"Data Analyst, Financial Services","Data Analyst","Anywhere","New York, United States","Full-time","",1,"95000.0","Earnest Analytics"
"Data Analyst (Greater LA Area, CA or Remote)","Data Analyst","Anywhere","California, United States","Full-time",1,1,"95000.0","HopSkipDrive"
"Data Analyst","Data Analyst","Anywhere","Georgia","Full-time","",1,"95000.0","Jobot"
